3   0   4  50     ssnake.bmp SeaSnake      20   1 0 0 1 0
3   0   4  50     ssnake.bmp SeaSnake      20   1 0 0 1 0
3   0   4  50     ssnake.bmp SeaSnake      20   1 0 0 1 0
3   0   4  50     ssnake.bmp SeaSnake      20   1 0 0 1 0
3   0   4  50     weard.bmp  WaterWeird    20   2 0 0 1 0
3   0   4  50     weard.bmp  WaterWeird    20   2 0 0 1 0
3   0   4  50     weard.bmp  WaterWeird    20   2 0 0 1 0
3   0   4  50     weard.bmp  WaterWeird    20   2 0 0 1 0
2   0   5  25     eeal.bmp   ElectricEel   10   1 0 0 1 8
2   0   5  25     eeal.bmp   ElectricEel   10   1 0 0 1 8
2   0   5  25     eeal.bmp   ElectricEel   10   1 0 0 1 8
2   0   5  25     eeal.bmp   ElectricEel   10   1 0 0 1 8
6   0   11 500    shark.bmp  Shark         200  1 0 0 1 0
6   0   30  275   defalt.bmp SeaSerpent    300  1 0 0 1 0
8   0   30 650    oct.bmp    GiantOctopus  250  2 0 0 1 0
4   0   40 175    man.bmp    Man-O-War     75   2 0 0 1 0
4   0   40 175    man.bmp    Man-O-War     75   2 0 0 1 0
6   0   100 275   Squid.bmp  GiantSquid    300  3 0 0 1 0
8   100 100 1750  defalt.bmp SeaDragon     1000 1 0 0 1 7
64  0   300 26000 karken.bmp Kraken        3000 3 0 0 1 0
70  0   200 57500 lav.bmp    Leviathan     4000 3 0 0 1 0
